,gene,validation,localization
69,YMR040W,Verified,null
70,YDR077W,Verified,mitochond
71,YMR266W,Verified,membrane
72,YKR064W,Verified,null
73,YPL089C,Verified,nucle
74,YGR277C,Verified,null
75,YDL139C,Verified,nucle
76,YDR246W,Uncharacterized,null
77,YOR288C,Verified,null
78,YCR028C,Verified,membrane
79,YML054C,Uncharacterized,mitochond
80,YLR179C,Verified,cytoplasm
81,YOR141C,Verified,nucle
82,YPL280W,Verified,cytoplasm
83,YBL106C,Verified,membrane
84,YGL044C,Verified,null
85,YER107C,Verified,nucle
86,YBR038W,Verified,null
87,YGR259C,Dubious,cellular_component
88,YEL047C,Verified,cytosol
89,YPR016C,Verified,nucle
90,YLR157C,Uncharacterized,null
91,YDL055C,Verified,null
92,YML009C,Verified,mitochond
93,YML072C,Verified,endoplasm
94,YDR142C,Verified,cytosol
95,YFL044C,Verified,null
96,YKL019W,Verified,null
97,YJL130C,Verified,cytoplasm
98,YBL085W,Verified,null
99,YBR116C,Dubious,cellular_component
100,YDR166C,Verified,null
101,YDR082W,Verified,null
102,YDR348C,Verified,null
103,YKL182W,Verified,cytosol
104,YDR333C,Verified,cytosol
105,YPL027W,Verified,membrane
106,YIR012W,Verified,cytosol
107,YLR363C,Verified,null
108,YDR179C,Verified,null
109,YML089C,Dubious,cellular_component
110,YLR431C,Verified,membrane
111,YKR046C,Verified,null
112,YJR005W,Verified,null
113,YJL116C,Verified,null
114,YER030W,Verified,nucle
115,YHR041C,Verified,null
116,YJR072C,Verified,null
117,YDR047W,Verified,null
118,YKR039W,Verified,membrane
119,YGL003C,Verified,null
120,YPL009C,Verified,cytoplasm
121,YDR268W,Verified,mitochond
122,YGL192W,Verified,null
123,YDL117W,Verified,null
124,YMR131C,Verified,nucle
125,YMR293C,Verified,mitochond
126,YJL214W,Verified,membrane
127,YIL105C,Verified,membrane
128,YML126C,Verified,null
129,YLR189C,Verified,null
130,YIL150C,Verified,nucle
131,YLR349W,Dubious,cellular_component
132,YGL250W,Verified,null
133,YBR212W,Verified,cytoplasm
134,YJR109C,Verified,null
135,YLR254C,Verified,nucle
136,YGR085C,Verified,cytosol
137,YPL105C,Verified,cytoplasm
138,YGR145W,Verified,nucle
139,YGR110W,Verified,mitochond
140,YKL177W,Dubious,cellular_component
141,YGL154C,Verified,cytoplasm
142,YOR010C,Verified,null
143,YDL215C,Verified,null
144,YKL099C,Verified,nucle
145,YDR315C,Verified,nucle
146,YLR394W,Verified,nucle
147,YNL104C,Verified,cytoplasm
148,YNL151C,Verified,null
149,YNR066C,Uncharacterized,membrane
150,YLR220W,Verified,membrane
151,YIL045W,Verified,null
152,YMR232W,Verified,nucle
153,YNL083W,Verified,membrane
154,YMR238W,Verified,membrane
155,YER168C,Verified,nucle
156,YPL265W,Verified,membrane
157,YOR227W,Verified,null
158,YOR081C,Verified,null
159,YEL026W,Verified,nucle
160,YGR050C,Uncharacterized,cellular_component
161,YDR021W,Verified,nucle
162,YGL063W,Verified,mitochond
163,YPL212C,Verified,nucle
164,YOL157C,Verified,cellular_component
165,YOR345C,Dubious,cellular_component
166,YPR095C,Verified,membrane
167,YOR310C,Verified,nucle
168,YDR188W,Verified,null
169,YAL027W,Verified,null
170,YGL236C,Verified,mitochond
171,YHR133C,Verified,nucle
172,YDR017C,Verified,null
173,YIL090W,Verified,membrane
174,YBR183W,Verified,endoplasm
175,YOL048C,Verified,membrane
176,YCR007C,Uncharacterized,null
177,YGR290W,Dubious,membrane
178,YEL004W,Verified,endoplasm
179,YPR057W,Verified,nucle
180,YLL032C,Verified,cytoplasm
181,YDR116C,Verified,mitochond
182,YDR299W,Verified,nucle
183,YLR030W,Uncharacterized,cellular_component
184,YDR122W,Verified,membrane
185,YOL062C,Verified,null
186,YNL234W,Verified,null
187,YLR467W,Verified,nucle
188,YJL194W,Verified,nucle
189,YOL015W,Verified,null
190,YDL070W,Verified,nucle
191,YOR241W,Verified,cytoplasm
192,YLR056W,Verified,endoplasm
193,YPR039W,Dubious,cellular_component
194,YKL110C,Verified,nucle
195,YBR280C,Verified,null
196,YLR204W,Verified,membrane
197,YML097C,Verified,cytosol
198,YKR007W,Verified,membrane
199,YDL096C,Dubious,cellular_component
200,YHR193C,Dubious,null
201,YBL099W,Verified,mitochond
202,YJR035W,Verified,null
203,YOR126C,Verified,cellular_component
204,YMR023C,Verified,membrane
205,YOR119C,Verified,nucle
206,YNL187W,Verified,nucle
207,YMR141C,Uncharacterized,cellular_component
208,YLL014W,Verified,membrane
209,YBL062W,Dubious,cellular_component
210,YCR061W,Uncharacterized,null
211,YOR199W,Dubious,cellular_component
212,YPR115W,Verified,null
213,YHR088W,Verified,nucle
214,YBR017C,Verified,cytosol
215,YPR162C,Verified,nucle
216,YGR166W,Verified,null
217,YDL161W,Verified,null
218,YKL050C,Verified,cellular_component
219,YJR055W,Verified,null
220,YGL099W,Verified,cytoplasm
221,YFL030W,Verified,null
222,YIL119C,Verified,nucle
223,YPL193W,Verified,nucle
224,YNL005C,Verified,mitochond
225,YGL217C,Dubious,cellular_component
226,YJL144W,Verified,null
227,YLR379W,Dubious,cellular_component
228,YJR139C,Verified,null
229,YBR133C,Verified,null
230,YBR162C,Verified,null
231,YNL331C,Verified,cellular_component
232,YJL079C,Verified,extracellular
233,SCER_lnc1695,null,null
234,YGL019W,Verified,null
235,YGR201C,Uncharacterized,cellular_component
236,YNL172W,Verified,null
237,YNL058C,Uncharacterized,null
238,YPL160W,Verified,cytoplasm
239,YNL023C,Verified,cytoplasm
240,YDR214W,Verified,cytoplasm
241,YIL126W,Verified,nucle
242,YLR295C,Verified,mitochond
243,YHR168W,Verified,membrane
244,YOR064C,Verified,null
245,YOR159C,Verified,null
246,YOL081W,Verified,mitochond
247,YOL036W,Uncharacterized,cellular_component
248,YGL148W,Verified,cytoplasm
249,YBR282W,Verified,mitochond
250,YDR194C,Verified,mitochond
251,YOL114C,Verified,mitochond
252,YNL257C,Verified,endoplasm
253,YNR030W,Verified,null
254,YKL076C,Dubious,cellular_component
255,YDR466W,Verified,cellular_component
256,YFR045W,Uncharacterized,membrane
257,YIL002C,Verified,cytoplasm
258,YGR159C,Verified,nucle
259,YGL089C,Verified,null
260,YFR032C,Uncharacterized,null
261,YNL118C,Verified,cytoplasm
262,YGL228W,Verified,null
263,YJR117W,Verified,membrane
264,YLR357W,Verified,null
265,YER127W,Verified,nucle
266,YBL015W,Verified,mitochond
267,YLR017W,Verified,cytoplasm
268,YHR110W,Verified,membrane
269,YBR041W,Verified,endoplasm
270,YOR394W,Verified,null
271,YPL078C,Verified,mitochond
272,YCL068C,Uncharacterized,cellular_component
273,YDL039C,Verified,membrane
274,YKL202W,Dubious,cellular_component
275,YOR264W,Verified,null
276,YGR184C,Verified,cytoplasm
277,YOR366W,Dubious,cellular_component
278,YNL275W,Verified,membrane
279,YAR015W,Verified,null
280,YOR384W,Verified,null
281,YLL051C,Verified,membrane
282,YDR395W,Verified,nucle
283,YLR079W,Verified,nucle
284,YLR408C,Verified,null
285,YMR093W,Verified,nucle
286,YKR066C,Verified,membrane
287,YDR079W,Verified,membrane
288,YMR268C,Verified,null
289,YOR169C,Dubious,cellular_component
290,YML070W,Verified,null
291,YPR072W,Verified,cytoplasm
292,YMR108W,Verified,null
293,YCR091W,Verified,cellular_component
294,YER062C,Verified,null
295,YDR244W,Verified,membrane
296,YER189W,Uncharacterized,cellular_component
297,YJL009W,Dubious,cellular_component
298,YDL137W,Verified,null
299,YGR271W,Verified,cytoplasm
300,YDR233C,Verified,endoplasm
301,YGR071C,Verified,null
302,YCR106W,Verified,null
303,YBL100C,Dubious,membrane
304,YDR489W,Verified,null
305,YPL282C,Verified,null
306,SCER_lnc0058,null,null
307,SCER_lnc0054,null,null
308,YDL057W,Uncharacterized,cellular_component
309,YPR014C,Dubious,cellular_component
310,SCER_lnc0057,null,null
311,SCER_lnc0050,null,null
312,YEL045C,Dubious,null
313,YPL235W,Verified,nucle
314,YLR122C,Dubious,cellular_component
315,YLR155C,Verified,null
316,YBL087C,Verified,cytosol
317,YJL132W,Uncharacterized,membrane
318,YGL190C,Verified,membrane
319,YBR110W,Verified,endoplasm
320,YDR144C,Verified,null
321,YFL046W,Verified,mitochond
322,YOR103C,Verified,null
323,YKL137W,Verified,membrane
324,YDR447C,Verified,cytosol
325,YAL061W,Uncharacterized,null
326,YNL324W,Dubious,cellular_component
327,YPR145W,Verified,null
328,YJL063C,Verified,mitochond
329,YPL021W,Verified,cellular_component
330,YIR010W,Verified,nucle
331,YDR331W,Verified,membrane
332,YML056C,Verified,cytoplasm
333,YKR044W,Verified,nucle
334,YLR433C,Verified,cytoplasm
335,YMR068W,Verified,null
336,YFL068W,Uncharacterized,null
337,YER032W,Verified,null
338,YJR070C,Verified,null
339,YGL005C,Verified,null
340,YHR043C,Verified,null
341,YDL111C,Verified,nucle
342,YMR133W,Verified,nucle
343,YPL007C,Verified,null
344,YKL159C,Verified,cytoplasm
345,YDR059C,Verified,null
346,YBR101C,Verified,cytosol
347,YLR396C,Verified,membrane
348,YBR245C,Verified,nucle
349,YJL216C,Verified,cellular_component
350,YBR210W,Verified,null
351,YPL103C,Verified,membrane
352,YIL103W,Verified,null
353,YIL152W,Uncharacterized,cellular_component
354,YJR096W,Verified,null
355,YAL010C,Verified,mitochond
356,YGR143W,Verified,membrane
357,YGR112W,Verified,membrane
358,YLR256W,Verified,null
359,YHR174W,Verified,mitochond
360,YOR012W,Uncharacterized,cellular_component
361,YHR062C,Verified,nucle
362,YDL213C,Verified,nucle
363,YDR317W,Verified,cellular_component
364,YDR478W,Verified,null
365,YKL097C,Dubious,cellular_component
366,YNL106C,Verified,cytoplasm
367,YOR378W,Verified,membrane
368,YFR015C,Verified,null
369,YMR230W,Uncharacterized,cytosol
370,YIL092W,Uncharacterized,null
371,YLR321C,Verified,null
372,YGR052W,Uncharacterized,null
373,YJR161C,Verified,null
374,SCER_lnc1488,null,null
375,YAL066W,Dubious,cellular_component
376,YOR278W,Verified,cellular_component
377,YNL085W,Verified,cytoplasm
378,YGL061C,Verified,null
379,YPL210C,Verified,endoplasm
380,YOR087W,Verified,membrane
381,YGL234W,Verified,null
382,YOR347C,Verified,mitochond
383,YPR093C,Verified,nucle
384,YAL029C,Verified,null
385,YOL155C,Verified,extracellular
386,YDR421W,Verified,nucle
387,YGR186W,Verified,null
388,YDR294C,Verified,endoplasm
389,YHR135C,Verified,membrane
390,YDR015C,Dubious,cellular_component
391,YBR181C,Verified,cytosol
392,YOR078W,Verified,nucle
393,YOR243C,Verified,nucle
394,YMR165C,Verified,cytosol
395,YCR005C,Verified,cytoplasm
396,YGR296W,Verified,nucle
397,YPR055W,Verified,null
398,YHR037W,Verified,mitochond
399,YLR032W,Verified,nucle
400,YDR114C,Uncharacterized,cellular_component
401,YLL030C,Dubious,cellular_component
402,YLL065W,Dubious,cellular_component
403,YBR099C,Dubious,cellular_component
404,YBL027W,Verified,cytosol
405,YOL060C,Verified,null
406,YBL033C,Verified,null
407,YNL232W,Verified,nucle
408,YDL076C,Verified,null
409,YOR225W,Dubious,cellular_component
410,YDR120C,Verified,nucle
411,YLR465C,Dubious,cellular_component
412,YJL192C,Verified,endoplasm
413,YLR054C,Verified,membrane
414,YLR009W,Verified,nucle
415,YDR063W,Verified,cytoplasm
416,YBR209W,Dubious,cellular_component
417,YOR292C,Uncharacterized,null
418,YER044C,Verified,membrane
419,YDR278C,Uncharacterized,cellular_component
420,YLR105C,Verified,nucle
421,YML091C,Verified,nucle
422,YHR191C,Verified,null
423,YDL098C,Verified,null
424,YLR202C,Dubious,cellular_component
425,YKR005C,Uncharacterized,null
426,YMR143W,Verified,cytosol
427,YCR063W,Verified,null
428,YNL189W,Verified,nucle
429,YCL047C,Verified,null
430,YGL122C,Verified,nucle
431,YDL018C,Verified,membrane
432,YNL303W,Dubious,cellular_component
433,YPR160W,Dubious,cytoplasm
434,YBL060W,Verified,null
435,YBR019C,Verified,cytosol
436,YKL056C,Verified,mitochond
437,YGR160W,Dubious,cellular_component
438,YDL163W,Dubious,cellular_component
439,YPL068C,Uncharacterized,null
440,YJR057W,Verified,nucle
441,YGL211W,Verified,cytosol
442,YFL032W,Dubious,cellular_component
443,YLR377C,Verified,cytosol
444,YCL044C,Verified,null
445,YAL059W,Verified,nucle
446,YNL007C,Verified,nucle
447,YPL148C,Verified,mitochond
448,YJR137C,Verified,cytoplasm
449,YMR021C,Verified,nucle
450,YMR074C,Verified,null
451,YDR378C,Verified,cytoplasm
452,YJR039W,Uncharacterized,null
453,YDL158C,Dubious,cellular_component
454,YOR104W,Verified,membrane
455,YFL009W,Verified,nucle
456,YLR297W,Verified,null
457,YLR279W,Dubious,cellular_component
458,YDR216W,Verified,nucle
459,YIL120W,Verified,membrane
460,YNL021W,Verified,null
461,YGR095C,Verified,nucle
462,YCL027W,Verified,membrane
463,YHR029C,Verified,cellular_component
464,YAL033W,Verified,nucle
465,YBR284W,Uncharacterized,cellular_component
466,YNR036C,Verified,mitochond
467,YNR049C,Verified,membrane
468,YDR192C,Verified,nucle
469,YOL112W,Verified,null
470,YML109W,Verified,nucle
471,YOL083W,Verified,null
472,YNL251C,Verified,nucle
473,YBR266C,Dubious,null
474,YBL004W,Verified,nucle
475,YBR164C,Verified,cytosol
476,YHR074W,Verified,nucle
477,YDR464W,Verified,nucle
478,YFR030W,Verified,null
479,YBR131W,Verified,null
480,YKL078W,Verified,nucle
481,YIL055C,Uncharacterized,null
482,YPL053C,Verified,membrane
483,YLR351C,Verified,null
484,YNR014W,Uncharacterized,null
485,YER125W,Verified,nucle
486,YER152C,Verified,null
487,YLR015W,Verified,null
488,YHR116W,Verified,cytoplasm
489,YPL259C,Verified,null
490,YGR093W,Verified,nucle
491,YDL037C,Verified,cellular_component
492,YLR442C,Verified,nucle
493,YHL043W,Verified,null
494,YOR364W,Dubious,cellular_component
495,YOR386W,Verified,null
496,YDR397C,Verified,nucle
497,YPR198W,Verified,membrane
498,YHL038C,Verified,mitochond
499,YLL053C,Uncharacterized,null
500,YDR425W,Verified,null
501,YOR331C,Dubious,cellular_component
502,YML076C,Verified,nucle
503,YKR060W,Verified,null
504,YER069W,Verified,null
505,YMR091C,Verified,null
506,YER012W,Verified,nucle
507,YHR098C,Verified,null
508,YDL135C,Verified,cytosol
509,YCR093W,Verified,nucle
510,YGR273C,Uncharacterized,cellular_component
511,YBR069C,Verified,membrane
512,YGL040C,Verified,null
513,YCR104W,Verified,cellular_component
514,YDR040C,Verified,membrane
515,SCER_lnc0078,null,null
516,YPR012W,Dubious,cellular_component
517,SCER_lnc0072,null,null
518,SCER_lnc0073,null,null
519,YGR255C,Verified,membrane
520,YDL051W,Verified,nucle
521,YBL102W,Verified,membrane
522,YPL237W,Verified,null
523,YLR120C,Verified,membrane
524,YEL043W,Verified,null
525,YNL068C,Verified,nucle
526,YJL169W,Dubious,cellular_component
527,YBL002W,Verified,nucle
528,YDR146C,Verified,nucle
529,YBR112C,Verified,nucle
530,YBL081W,Uncharacterized,cellular_component
531,YFL040W,Uncharacterized,membrane
532,YNL326C,Verified,membrane
533,YDR337W,Verified,mitochond
534,YJL061W,Verified,nucle
535,YPR147C,Verified,null
536,YKL131W,Dubious,cellular_component
537,YDR441C,Verified,null
538,YPL094C,Verified,null
539,YPL023C,Verified,cellular_component
540,YDR231C,Verified,membrane
541,YJL112W,Verified,membrane
542,YFL066C,Uncharacterized,null
543,YNL193W,Uncharacterized,cellular_component
544,YML058W,Verified,null
545,YBR188C,Verified,null
546,YER034W,Verified,null
547,YJR076C,Verified,membrane
548,YKL157W,Verified,extracellular
549,YBR003W,Verified,mitochond
550,YPR129W,Verified,cytoplasm
551,YDL113C,Verified,membrane
552,YMR135C,Verified,null
553,YGL007W,Uncharacterized,cellular_component
554,YPL005W,Verified,membrane
555,YBR247C,Verified,nucle
556,YLR185W,Verified,null
557,YJL210W,Verified,membrane
558,YLR398C,Verified,cytoplasm
559,YIL154C,Verified,null
560,YIL101C,Verified,nucle
561,YKL004W,Verified,null
562,YOR208W,Verified,nucle
563,YPL154C,Verified,null
564,YPL101W,Verified,nucle
565,YLR258W,Verified,cytoplasm
566,YBR178W,Dubious,cellular_component
567,YJR098C,Uncharacterized,null
568,YHR176W,Verified,membrane
569,YJR018W,Dubious,cellular_component
570,YDL211C,Uncharacterized,null
571,YDL244W,Verified,cellular_component
572,YDR319C,Uncharacterized,null
573,YKL095W,Verified,null
574,YOL099C,Dubious,null
575,YIL094C,Verified,null
576,YLR451W,Verified,nucle
577,YFR017C,Verified,null
578,YGR084C,Verified,mitochond
579,YIL076W,Verified,null
580,YNR077C,Uncharacterized,cellular_component
581,YOL044W,Verified,membrane
582,YLR323C,Verified,nucle
583,YOR085W,Verified,membrane
584,YGR054W,Verified,cytosol
585,YOR050C,Dubious,cellular_component
586,YNL087W,Verified,endoplasm
587,YGR114C,Dubious,null
588,YLR318W,Verified,nucle
589,YOR341W,Verified,nucle
590,YDR296W,Verified,nucle
591,YGL232W,Verified,null
592,YPR091C,Verified,nucle
593,YGR141W,Verified,null
594,YAR030C,Dubious,cellular_component
595,YJR158W,Verified,membrane
596,YHR137W,Verified,null
597,YBR187W,Verified,null
598,YMR198W,Verified,cytoplasm
599,YCR003W,Verified,mitochond
600,YDR342C,Verified,membrane
601,YMR163C,Verified,membrane
602,YGR294W,Verified,cellular_component
603,YEL008W,Uncharacterized,cellular_component
604,YLL067C,Uncharacterized,cellular_component
605,YBR020W,Verified,cytoplasm
606,YLR418C,Verified,nucle
607,YDR112W,Dubious,cellular_component
608,YER059W,Verified,null
609,YPL153C,Verified,nucle
610,YBL025W,Verified,nucle
611,YOL066C,Verified,cytoplasm
612,YDR126W,Verified,membrane
613,YPL216W,Uncharacterized,cellular_component
614,YOR223W,Verified,endoplasm
615,YEL022W,Verified,membrane
616,YHR072W,Verified,null
617,YDL074C,Verified,nucle
618,YLR463C,Dubious,cellular_component
619,YJL190C,Verified,cytosol
620,YMR218C,Verified,null
621,YNL265C,Verified,cytoplasm
622,YNL230C,Verified,null
623,YLL049W,Verified,null
624,YHR211W,Verified,null
625,YPR166C,Verified,mitochond
626,YJL042W,Verified,null
627,YNL301C,Verified,cytosol
628,YDR445C,Dubious,cellular_component
629,YMR058W,Verified,membrane
630,YDR061W,Uncharacterized,null
631,YOR290C,Verified,nucle
632,YKL114C,Verified,nucle
633,YML024W,Verified,cytosol
634,YML093W,Verified,nucle
635,YHR197W,Verified,nucle
636,YDR276C,Verified,membrane
637,YLR200W,Verified,cytoplasm
638,YKR003W,Verified,cytoplasm
639,YLR107W,Verified,null
640,YMR321C,Uncharacterized,cellular_component
641,YER175C,Verified,cytosol
642,YKL135C,Verified,null
643,YDL183C,Verified,membrane
644,YPL278C,Uncharacterized,cellular_component
645,YMR118C,Uncharacterized,null
646,YCL049C,Uncharacterized,membrane
647,YBL066C,Verified,cellular_component
648,YGL107C,Verified,mitochond
649,YDR169C,Uncharacterized,nucle
650,YOR057W,Verified,null
651,YLR169W,Dubious,cellular_component
652,YMR272C,Verified,membrane
653,YPR108W,Uncharacterized,nucle
654,YKL054C,Verified,nucle
655,YGR162W,Verified,cytoplasm
656,YDL165W,Verified,nucle
657,YDR520C,Uncharacterized,null
658,YKL023W,Uncharacterized,null
659,YJR051W,Verified,mitochond
660,YNL009W,Verified,cytoplasm
661,YFL034W,Uncharacterized,membrane
662,YJR135C,Verified,nucle
663,YGL213C,Verified,nucle
664,YMR076C,Verified,nucle
665,YGR205W,Verified,null
666,YJR037W,Dubious,cellular_component
667,YNL027W,Verified,nucle
668,YLR291C,Verified,nucle
669,YDR210W,Uncharacterized,cellular_component
670,YIL122W,Verified,nucle
671,YDL230W,Verified,null
672,YJR113C,Verified,mitochond
673,YGR024C,Verified,null
674,YIR026C,Verified,nucle
675,YER057C,Verified,nucle
676,YGR097W,Verified,cytoplasm
677,YIL068C,Verified,null
678,YCL025C,Verified,membrane
679,YNR034W,Verified,nucle
680,YOL085C,Uncharacterized,cellular_component
681,YNL282W,Verified,nucle
682,YNL253W,Verified,null
683,YGL144C,Verified,nucle
684,YDR190C,Verified,nucle
685,YAL031C,Verified,null
686,YBL006C,Verified,null
687,YGR108W,Verified,nucle
688,YBR264C,Verified,null
689,YBR231C,Verified,nucle
690,YPL197C,Dubious,cellular_component
691,YBR166C,Verified,null
692,YDR462W,Verified,mitochond
693,YJL148W,Verified,nucle
694,YIL057C,Verified,null
695,YPL055C,Verified,nucle
696,__ambiguous,null,null
697,YLR353W,Verified,membrane
698,YIL148W,Verified,cytosol
699,YNR016C,Verified,membrane
700,YFR036W,Dubious,nucle
701,YHR114W,Verified,membrane
702,YGR028W,Verified,membrane
703,YER150W,Verified,null
704,YNL279W,Verified,membrane
705,YDR400W,Verified,null
706,YDL068W,Dubious,cellular_component
707,YOL027C,Verified,membrane
708,YPL257W,Uncharacterized,null
709,YPL120W,Verified,cytoplasm
710,YOL145C,Verified,nucle
711,YJL099W,Verified,null
712,YHR149C,Verified,membrane
713,YOL110W,Verified,endoplasm
714,YDR005C,Verified,nucle
715,YMR311C,Verified,null
716,YHL041W,Dubious,cellular_component
717,YBL039C,Verified,null
718,YGR188C,Verified,nucle
719,YOR362C,Verified,nucle
720,YLR126C,Verified,nucle
721,YDL053C,Verified,cytoplasm
722,YML074C,Verified,nucle
723,YKR062W,Verified,null
724,YNL286W,Verified,null
725,YER010C,Verified,cellular_component
726,YML003W,Uncharacterized,cellular_component
727,YMR097C,Verified,membrane
728,YDL133W,Verified,null
729,YDR158W,Verified,null
730,YGR228W,Dubious,null
731,YHR096C,Verified,membrane
732,YDL035C,Verified,membrane
733,YMR253C,Uncharacterized,null
734,YCR102C,Uncharacterized,cellular_component
735,YOR257W,Verified,nucle
736,YGR002C,Verified,null
737,YDR042C,Uncharacterized,cellular_component
738,YGR075C,Verified,null
739,YGR253C,Verified,nucle
740,YDR510W,Verified,nucle
741,YEL014C,Dubious,cellular_component
742,YDR467C,Dubious,cellular_component
743,YPR045C,Verified,null
744,YPR010C,Uncharacterized,null
745,YPL231W,Verified,cytosol
746,YLR148W,Verified,membrane
747,YMR137C,Verified,nucle
748,YDL082W,Verified,cytosol
749,YKL155C,Verified,mitochond
750,YFL042C,Verified,membrane
751,YBL083C,Dubious,cellular_component
752,YDR148C,Verified,mitochond
753,YPL096W,Verified,nucle
754,YDR335W,Verified,nucle
755,YPR141C,Verified,cytoplasm
756,YJL067W,Dubious,cellular_component
757,YMR039C,Verified,nucle
758,YOR107W,Verified,null
759,YDR443C,Verified,null
760,YCR095C,Uncharacterized,null
761,YLL011W,Verified,nucle
762,YCR077C,Verified,null
763,YLR437C,Dubious,null
764,YFL064C,Uncharacterized,cellular_component
765,YNL191W,Verified,cytoplasm
766,YDR237W,Verified,mitochond
767,YJL110C,Verified,nucle
768,YKR048C,Verified,cytoplasm
769,YBR001C,Verified,null
770,YPL003W,Verified,cellular_component
771,YKL108W,Verified,null
772,YJR094C,Verified,nucle
773,YJR074W,Verified,nucle
774,YPR127W,Verified,null
775,YDL148C,Verified,nucle
776,YAL012W,Verified,null
777,YMR288W,Verified,null
778,YIL156W,Verified,cytoplasm
779,YBR241C,Uncharacterized,membrane
780,YJL212C,Verified,membrane
781,YPL156C,Verified,membrane
782,YNL312W,Verified,nucle
783,YLR187W,Verified,null
784,YDR099W,Verified,nucle
785,YKL133C,Uncharacterized,null
786,YKL188C,Verified,cytoplasm
787,YHR170W,Verified,cytosol
788,YDR259C,Verified,nucle
789,YKL068W,Verified,nucle
790,YGR098C,Verified,nucle
791,YKL093W,Verified,cellular_component
792,YMR002W,Verified,membrane
793,YLR261C,Uncharacterized,cellular_component
794,YDL246C,Verified,cellular_component
795,YER081W,Verified,null
796,YPL178W,Verified,nucle
797,YPR202W,Uncharacterized,cellular_component
798,YIL096C,Verified,nucle
799,YOL046C,Dubious,cellular_component
800,YFR011C,Verified,mitochond
801,YIL074C,Verified,null
802,YHL008C,Uncharacterized,null
803,YLR457C,Verified,membrane
804,YNL249C,Verified,null
805,YGR056W,Verified,null
806,YGL065C,Verified,endoplasm
807,YOR052C,Verified,null
808,YBR012C,Dubious,cellular_component
809,YGR116W,Verified,nucle
810,YOR343C,Dubious,cellular_component
811,YGL230C,Uncharacterized,null
812,YOL159C,Verified,null
813,YBR185C,Verified,membrane
814,YBR129C,Verified,null
815,YDR290W,Dubious,cellular_component
816,YDR019C,Verified,null
817,YBR150C,Verified,null
818,YIR042C,Uncharacterized,cellular_component
819,YER119C,Dubious,membrane
820,YMR196W,Uncharacterized,null
821,YKR105C,Verified,membrane
822,YDR499W,Verified,nucle
823,YCR054C,Verified,null
824,YMR322C,Verified,cellular_component
825,YLL061W,Verified,membrane
826,YDR110W,Verified,nucle
827,YDR419W,Verified,nucle
828,YOR221C,Verified,mitochond
829,YPL214C,Verified,cytosol
830,YGL165C,Dubious,cellular_component
831,YOL064C,Verified,cellular_component
832,YBL023C,Verified,nucle
833,YOR274W,Verified,nucle
834,YHR213W,Uncharacterized,cellular_component
835,YOR329C,Verified,nucle
836,YLR005W,Verified,nucle
837,YDR124W,Uncharacterized,cellular_component
838,YNL267W,Verified,nucle
839,YJL143W,Verified,membrane
840,YLL047W,Dubious,cellular_component
841,YLR461W,Verified,null
842,YLR050C,Uncharacterized,null
843,YNL307C,Verified,cytosol
844,YDR067C,Uncharacterized,null
845,YOR296W,Uncharacterized,null
846,YJL044C,Verified,null
847,YPR164W,Verified,cellular_component
