,gene,validation,localization
163,YPL212C,Verified,null
164,YOL157C,Verified,null
165,YOR345C,Dubious,molecular_function
166,YPR095C,Verified,null
167,YOR310C,Verified,null
168,YDR188W,Verified,null
169,YAL027W,Verified,null
170,YGL236C,Verified,molecular_function
171,YHR133C,Verified,null
172,YDR017C,Verified,kinase
173,YIL090W,Verified,molecular_function
174,YBR183W,Verified,null
175,YOL048C,Verified,molecular_function
176,YCR007C,Uncharacterized,molecular_function
177,YGR290W,Dubious,molecular_function
178,YEL004W,Verified,transmembrane
179,YPR057W,Verified,null
180,YLL032C,Verified,null
181,YDR116C,Verified,null
182,YDR299W,Verified,molecular_function
183,YLR030W,Uncharacterized,molecular_function
184,YDR122W,Verified,kinase
185,YOL062C,Verified,null
186,YNL234W,Verified,null
187,YLR467W,Verified,null
188,YJL194W,Verified,ATP
189,YOL015W,Verified,molecular_function
190,YDL070W,Verified,transcription
191,YOR241W,Verified,null
192,YLR056W,Verified,null
193,YPR039W,Dubious,molecular_function
194,YKL110C,Verified,null
195,YBR280C,Verified,null
196,YLR204W,Verified,molecular_function
197,YML097C,Verified,null
198,YKR007W,Verified,molecular_function
199,YDL096C,Dubious,molecular_function
200,YHR193C,Dubious,null
201,YBL099W,Verified,ATP
202,YJR035W,Verified,ATP
203,YOR126C,Verified,hydrolase
204,YMR023C,Verified,null
205,YOR119C,Verified,kinase
206,YNL187W,Verified,molecular_function
207,YMR141C,Uncharacterized,molecular_function
208,YLL014W,Verified,molecular_function
209,YBL062W,Dubious,molecular_function
210,YCR061W,Uncharacterized,molecular_function
211,YOR199W,Dubious,molecular_function
212,YPR115W,Verified,null
213,YHR088W,Verified,null
214,YBR017C,Verified,null
215,YPR162C,Verified,null
216,YGR166W,Verified,null
217,YDL161W,Verified,null
218,YKL050C,Verified,molecular_function
219,YJR055W,Verified,molecular_function
220,YGL099W,Verified,null
221,YFL030W,Verified,null
222,YIL119C,Verified,null
223,YPL193W,Verified,molecular_function
224,YNL005C,Verified,null
225,YGL217C,Dubious,molecular_function
226,YJL144W,Verified,molecular_function
227,YLR379W,Dubious,molecular_function
228,YJR139C,Verified,dehydrogenase
229,YBR133C,Verified,null
230,YBR162C,Verified,molecular_function
231,YNL331C,Verified,NAD+
232,YJL079C,Verified,null
233,SCER_lnc1695,null,null
234,YGL019W,Verified,kinase
235,YGR201C,Uncharacterized,molecular_function
236,YNL172W,Verified,null
237,YNL058C,Uncharacterized,molecular_function
238,YPL160W,Verified,tRNA
239,YNL023C,Verified,transcription
240,YDR214W,Verified,ATP
241,YIL126W,Verified,ATP
242,YLR295C,Verified,ATP
243,YHR168W,Verified,null
244,YOR064C,Verified,histone
245,YOR159C,Verified,molecular_function
246,YOL081W,Verified,null
247,YOL036W,Uncharacterized,molecular_function
248,YGL148W,Verified,ADP
249,YBR282W,Verified,null
250,YDR194C,Verified,ATP
251,YOL114C,Verified,hydrolase
252,YNL257C,Verified,transcription
253,YNR030W,Verified,null
254,YKL076C,Dubious,molecular_function
255,YDR466W,Verified,kinase
256,YFR045W,Uncharacterized,transporter
257,YIL002C,Verified,null
258,YGR159C,Verified,null
259,YGL089C,Verified,null
260,YFR032C,Uncharacterized,molecular_function
261,YNL118C,Verified,hydrolase
262,YGL228W,Verified,molecular_function
263,YJR117W,Verified,peptidase
264,YLR357W,Verified,null
265,YER127W,Verified,molecular_function
266,YBL015W,Verified,hydrolase
267,YLR017W,Verified,null
268,YHR110W,Verified,molecular_function
269,YBR041W,Verified,transporter
270,YOR394W,Verified,molecular_function
271,YPL078C,Verified,ATP
272,YCL068C,Uncharacterized,molecular_function
273,YDL039C,Verified,molecular_function
274,YKL202W,Dubious,molecular_function
275,YOR264W,Verified,molecular_function
276,YGR184C,Verified,null
277,YOR366W,Dubious,molecular_function
278,YNL275W,Verified,transmembrane
279,YAR015W,Verified,null
280,YOR384W,Verified,null
281,YLL051C,Verified,null
282,YDR395W,Verified,transporter
283,YLR079W,Verified,kinase
284,YLR408C,Verified,null
285,YMR093W,Verified,null
286,YKR066C,Verified,null
287,YDR079W,Verified,null
288,YMR268C,Verified,snRNA binding
289,YOR169C,Dubious,molecular_function
290,YML070W,Verified,kinase
291,YPR072W,Verified,null
292,YMR108W,Verified,null
293,YCR091W,Verified,kinase
294,YER062C,Verified,null
295,YDR244W,Verified,null
296,YER189W,Uncharacterized,molecular_function
297,YJL009W,Dubious,molecular_function
298,YDL137W,Verified,null
299,YGR271W,Verified,null
300,YDR233C,Verified,molecular_function
301,YGR071C,Verified,molecular_function
302,YCR106W,Verified,null
303,YBL100C,Dubious,molecular_function
304,YDR489W,Verified,molecular_function
305,YPL282C,Verified,molecular_function
306,SCER_lnc0058,null,null
307,SCER_lnc0054,null,null
308,YDL057W,Uncharacterized,molecular_function
309,YPR014C,Dubious,molecular_function
310,SCER_lnc0057,null,null
311,SCER_lnc0050,null,null
312,YEL045C,Dubious,molecular_function
313,YPL235W,Verified,ATP
314,YLR122C,Dubious,molecular_function
315,YLR155C,Verified,null
316,YBL087C,Verified,null
317,YJL132W,Uncharacterized,molecular_function
318,YGL190C,Verified,null
319,YBR110W,Verified,null
320,YDR144C,Verified,peptidase
321,YFL046W,Verified,molecular_function
322,YOR103C,Verified,null
323,YKL137W,Verified,null
324,YDR447C,Verified,null
325,YAL061W,Uncharacterized,ADP
326,YNL324W,Dubious,molecular_function
327,YPR145W,Verified,null
328,YJL063C,Verified,null
329,YPL021W,Verified,null
330,YIR010W,Verified,molecular_function
331,YDR331W,Verified,null
332,YML056C,Verified,dehydrogenase
333,YKR044W,Verified,molecular_function
334,YLR433C,Verified,null
335,YMR068W,Verified,molecular_function
336,YFL068W,Uncharacterized,molecular_function
337,YER032W,Verified,null
338,YJR070C,Verified,null
339,YGL005C,Verified,molecular_function
340,YHR043C,Verified,null
341,YDL111C,Verified,molecular_function
342,YMR133W,Verified,molecular_function
343,YPL007C,Verified,RNA polymerase
344,YKL159C,Verified,null
345,YDR059C,Verified,null
346,YBR101C,Verified,null
347,YLR396C,Verified,ATP
348,YBR245C,Verified,transcription
349,YJL216C,Verified,null
350,YBR210W,Verified,molecular_function
351,YPL103C,Verified,null
352,YIL103W,Verified,molecular_function
353,YIL152W,Uncharacterized,molecular_function
354,YJR096W,Verified,ADP
355,YAL010C,Verified,molecular_function
356,YGR143W,Verified,null
357,YGR112W,Verified,null
358,YLR256W,Verified,null
359,YHR174W,Verified,null
360,YOR012W,Uncharacterized,molecular_function
361,YHR062C,Verified,null
362,YDL213C,Verified,rRNA binding
363,YDR317W,Verified,molecular_function
364,YDR478W,Verified,null
365,YKL097C,Dubious,molecular_function
366,YNL106C,Verified,null
367,YOR378W,Verified,transmembrane
368,YFR015C,Verified,null
369,YMR230W,Uncharacterized,null
370,YIL092W,Uncharacterized,molecular_function
371,YLR321C,Verified,null
372,YGR052W,Uncharacterized,kinase
373,YJR161C,Verified,molecular_function
374,SCER_lnc1488,null,null
375,YAL066W,Dubious,molecular_function
376,YOR278W,Verified,null
377,YNL085W,Verified,null
378,YGL061C,Verified,null
379,YPL210C,Verified,null
380,YOR087W,Verified,calcium channel
381,YGL234W,Verified,null
382,YOR347C,Verified,kinase
383,YPR093C,Verified,null
384,YAL029C,Verified,null
385,YOL155C,Verified,null
386,YDR421W,Verified,transcription
387,YGR186W,Verified,transcription
388,YDR294C,Verified,null
389,YHR135C,Verified,kinase
390,YDR015C,Dubious,molecular_function
391,YBR181C,Verified,null
392,YOR078W,Verified,null
393,YOR243C,Verified,null
394,YMR165C,Verified,transcription
395,YCR005C,Verified,null
396,YGR296W,Verified,null
397,YPR055W,Verified,molecular_function
398,YHR037W,Verified,dehydrogenase
399,YLR032W,Verified,ATP
400,YDR114C,Uncharacterized,molecular_function
401,YLL030C,Dubious,molecular_function
402,YLL065W,Dubious,molecular_function
403,YBR099C,Dubious,molecular_function
404,YBL027W,Verified,null
405,YOL060C,Verified,molecular_function
406,YBL033C,Verified,hydrolase
407,YNL232W,Verified,molecular_function
408,YDL076C,Verified,molecular_function
409,YOR225W,Dubious,molecular_function
410,YDR120C,Verified,tRNA
411,YLR465C,Dubious,molecular_function
412,YJL192C,Verified,molecular_function
413,YLR054C,Verified,molecular_function
414,YLR009W,Verified,ATP
415,YDR063W,Verified,molecular_function
416,YBR209W,Dubious,molecular_function
417,YOR292C,Uncharacterized,molecular_function
418,YER044C,Verified,null
419,YDR278C,Uncharacterized,molecular_function
420,YLR105C,Verified,tRNA
421,YML091C,Verified,null
422,YHR191C,Verified,molecular_function
423,YDL098C,Verified,molecular_function
424,YLR202C,Dubious,molecular_function
425,YKR005C,Uncharacterized,molecular_function
426,YMR143W,Verified,null
427,YCR063W,Verified,molecular_function
428,YNL189W,Verified,transporter
429,YCL047C,Verified,null
430,YGL122C,Verified,tRNA
431,YDL018C,Verified,molecular_function
432,YNL303W,Dubious,molecular_function
433,YPR160W,Dubious,null
434,YBL060W,Verified,null
435,YBR019C,Verified,null
436,YKL056C,Verified,molecular_function
437,YGR160W,Dubious,molecular_function
438,YDL163W,Dubious,molecular_function
439,YPL068C,Uncharacterized,molecular_function
440,YJR057W,Verified,kinase
441,YGL211W,Verified,tRNA
442,YFL032W,Dubious,molecular_function
443,YLR377C,Verified,null
444,YCL044C,Verified,null
445,YAL059W,Verified,molecular_function
446,YNL007C,Verified,null
447,YPL148C,Verified,null
448,YJR137C,Verified,ADP
449,YMR021C,Verified,transcription
450,YMR074C,Verified,molecular_function
451,YDR378C,Verified,null
452,YJR039W,Uncharacterized,molecular_function
453,YDL158C,Dubious,molecular_function
454,YOR104W,Verified,molecular_function
455,YFL009W,Verified,null
456,YLR297W,Verified,molecular_function
457,YLR279W,Dubious,molecular_function
458,YDR216W,Verified,RNA polymerase
459,YIL120W,Verified,transmembrane
460,YNL021W,Verified,histone
461,YGR095C,Verified,molecular_function
462,YCL027W,Verified,molecular_function
463,YHR029C,Verified,molecular_function
464,YAL033W,Verified,null
465,YBR284W,Uncharacterized,molecular_function
466,YNR036C,Verified,null
467,YNR049C,Verified,molecular_function
468,YDR192C,Verified,transporter
469,YOL112W,Verified,null
470,YML109W,Verified,molecular_function
471,YOL083W,Verified,null
472,YNL251C,Verified,transcription
473,YBR266C,Dubious,null
474,YBL004W,Verified,null
475,YBR164C,Verified,null
476,YHR074W,Verified,NAD+
477,YDR464W,Verified,molecular_function
478,YFR030W,Verified,ADP
479,YBR131W,Verified,null
480,YKL078W,Verified,null
481,YIL055C,Uncharacterized,molecular_function
482,YPL053C,Verified,null
483,YLR351C,Verified,hydrolase
484,YNR014W,Uncharacterized,molecular_function
485,YER125W,Verified,null
486,YER152C,Verified,null
487,YLR015W,Verified,histone
488,YHR116W,Verified,molecular_function
489,YPL259C,Verified,null
490,YGR093W,Verified,null
491,YDL037C,Verified,molecular_function
492,YLR442C,Verified,histone
493,YHL043W,Verified,molecular_function
494,YOR364W,Dubious,molecular_function
495,YOR386W,Verified,null
496,YDR397C,Verified,transcription
497,YPR198W,Verified,transmembrane
498,YHL038C,Verified,null
499,YLL053C,Uncharacterized,molecular_function
500,YDR425W,Verified,null
501,YOR331C,Dubious,molecular_function
502,YML076C,Verified,transcription
503,YKR060W,Verified,molecular_function
504,YER069W,Verified,null
505,YMR091C,Verified,null
506,YER012W,Verified,peptidase
507,YHR098C,Verified,null
508,YDL135C,Verified,null
509,YCR093W,Verified,molecular_function
510,YGR273C,Uncharacterized,molecular_function
511,YBR069C,Verified,transmembrane
512,YGL040C,Verified,null
513,YCR104W,Verified,molecular_function
514,YDR040C,Verified,ATP
515,SCER_lnc0078,null,null
516,YPR012W,Dubious,molecular_function
517,SCER_lnc0072,null,null
518,SCER_lnc0073,null,null
519,YGR255C,Verified,null
520,YDL051W,Verified,tRNA
521,YBL102W,Verified,molecular_function
522,YPL237W,Verified,null
523,YLR120C,Verified,peptidase
524,YEL043W,Verified,molecular_function
525,YNL068C,Verified,transcription
526,YJL169W,Dubious,molecular_function
527,YBL002W,Verified,null
528,YDR146C,Verified,RNA polymerase
529,YBR112C,Verified,transcription
530,YBL081W,Uncharacterized,molecular_function
531,YFL040W,Uncharacterized,transmembrane
532,YNL326C,Verified,null
533,YDR337W,Verified,null
534,YJL061W,Verified,null
535,YPR147C,Verified,molecular_function
536,YKL131W,Dubious,molecular_function
537,YDR441C,Verified,molecular_function
538,YPL094C,Verified,transporter
539,YPL023C,Verified,null
540,YDR231C,Verified,null
541,YJL112W,Verified,null
542,YFL066C,Uncharacterized,molecular_function
543,YNL193W,Uncharacterized,molecular_function
544,YML058W,Verified,null
545,YBR188C,Verified,null
546,YER034W,Verified,molecular_function
547,YJR076C,Verified,null
548,YKL157W,Verified,peptidase
549,YBR003W,Verified,null
550,YPR129W,Verified,null
551,YDL113C,Verified,null
552,YMR135C,Verified,molecular_function
553,YGL007W,Uncharacterized,molecular_function
554,YPL005W,Verified,molecular_function
555,YBR247C,Verified,null
556,YLR185W,Verified,null
557,YJL210W,Verified,null
558,YLR398C,Verified,null
559,YIL154C,Verified,null
560,YIL101C,Verified,transcription
561,YKL004W,Verified,null
562,YOR208W,Verified,null
563,YPL154C,Verified,peptidase
564,YPL101W,Verified,RNA polymerase
565,YLR258W,Verified,null
566,YBR178W,Dubious,molecular_function
567,YJR098C,Uncharacterized,molecular_function
568,YHR176W,Verified,null
569,YJR018W,Dubious,molecular_function
570,YDL211C,Uncharacterized,molecular_function
571,YDL244W,Verified,molecular_function
572,YDR319C,Uncharacterized,molecular_function
573,YKL095W,Verified,null
574,YOL099C,Dubious,molecular_function
575,YIL094C,Verified,dehydrogenase
576,YLR451W,Verified,transcription
577,YFR017C,Verified,null
578,YGR084C,Verified,null
579,YIL076W,Verified,null
580,YNR077C,Uncharacterized,molecular_function
581,YOL044W,Verified,null
582,YLR323C,Verified,molecular_function
583,YOR085W,Verified,null
584,YGR054W,Verified,null
585,YOR050C,Dubious,molecular_function
586,YNL087W,Verified,null
587,YGR114C,Dubious,molecular_function
588,YLR318W,Verified,null
589,YOR341W,Verified,RNA polymerase
590,YDR296W,Verified,null
591,YGL232W,Verified,null
592,YPR091C,Verified,null
593,YGR141W,Verified,molecular_function
594,YAR030C,Dubious,molecular_function
595,YJR158W,Verified,transmembrane
596,YHR137W,Verified,null
597,YBR187W,Verified,transmembrane
598,YMR198W,Verified,ATP
599,YCR003W,Verified,null
600,YDR342C,Verified,transmembrane
601,YMR163C,Verified,null
602,YGR294W,Verified,molecular_function
603,YEL008W,Uncharacterized,molecular_function
604,YLL067C,Uncharacterized,null
605,YBR020W,Verified,kinase
606,YLR418C,Verified,RNA polymerase
607,YDR112W,Dubious,molecular_function
608,YER059W,Verified,kinase
609,YPL153C,Verified,kinase
610,YBL025W,Verified,RNA polymerase
611,YOL066C,Verified,null
612,YDR126W,Verified,null
613,YPL216W,Uncharacterized,molecular_function
614,YOR223W,Verified,molecular_function
615,YEL022W,Verified,null
616,YHR072W,Verified,null
617,YDL074C,Verified,null
618,YLR463C,Dubious,molecular_function
619,YJL190C,Verified,null
620,YMR218C,Verified,null
621,YNL265C,Verified,molecular_function
622,YNL230C,Verified,null
623,YLL049W,Verified,molecular_function
624,YHR211W,Verified,null
625,YPR166C,Verified,null
626,YJL042W,Verified,null
627,YNL301C,Verified,null
628,YDR445C,Dubious,molecular_function
629,YMR058W,Verified,transmembrane
630,YDR061W,Uncharacterized,molecular_function
631,YOR290C,Verified,transcription
632,YKL114C,Verified,hydrolase
633,YML024W,Verified,null
634,YML093W,Verified,molecular_function
635,YHR197W,Verified,null
636,YDR276C,Verified,null
637,YLR200W,Verified,null
638,YKR003W,Verified,null
639,YLR107W,Verified,exonuclease activity
640,YMR321C,Uncharacterized,molecular_function
641,YER175C,Verified,null
642,YKL135C,Verified,null
643,YDL183C,Verified,molecular_function
644,YPL278C,Uncharacterized,molecular_function
645,YMR118C,Uncharacterized,molecular_function
646,YCL049C,Uncharacterized,molecular_function
647,YBL066C,Verified,molecular_function
648,YGL107C,Verified,null
649,YDR169C,Uncharacterized,null
650,YOR057W,Verified,null
651,YLR169W,Dubious,molecular_function
652,YMR272C,Verified,null
653,YPR108W,Uncharacterized,null
654,YKL054C,Verified,molecular_function
655,YGR162W,Verified,null
656,YDL165W,Verified,null
657,YDR520C,Uncharacterized,null
658,YKL023W,Uncharacterized,molecular_function
659,YJR051W,Verified,NADH
660,YNL009W,Verified,ADP
661,YFL034W,Uncharacterized,molecular_function
662,YJR135C,Verified,molecular_function
663,YGL213C,Verified,molecular_function
664,YMR076C,Verified,null
665,YGR205W,Verified,ATP
666,YJR037W,Dubious,molecular_function
667,YNL027W,Verified,transcription
668,YLR291C,Verified,null
669,YDR210W,Uncharacterized,molecular_function
670,YIL122W,Verified,null
671,YDL230W,Verified,null
672,YJR113C,Verified,null
673,YGR024C,Verified,tRNA
674,YIR026C,Verified,null
675,YER057C,Verified,molecular_function
676,YGR097W,Verified,null
677,YIL068C,Verified,null
678,YCL025C,Verified,transmembrane
679,YNR034W,Verified,molecular_function
680,YOL085C,Uncharacterized,molecular_function
681,YNL282W,Verified,null
682,YNL253W,Verified,null
683,YGL144C,Verified,null
684,YDR190C,Verified,ATP
685,YAL031C,Verified,null
686,YBL006C,Verified,null
687,YGR108W,Verified,kinase
688,YBR264C,Verified,null
689,YBR231C,Verified,molecular_function
690,YPL197C,Dubious,molecular_function
691,YBR166C,Verified,dehydrogenase
692,YDR462W,Verified,null
693,YJL148W,Verified,RNA polymerase
694,YIL057C,Verified,molecular_function
695,YPL055C,Verified,molecular_function
696,__ambiguous,null,null
697,YLR353W,Verified,molecular_function
698,YIL148W,Verified,null
699,YNR016C,Verified,null
700,YFR036W,Dubious,null
701,YHR114W,Verified,null
702,YGR028W,Verified,ATP
703,YER150W,Verified,molecular_function
704,YNL279W,Verified,molecular_function
705,YDR400W,Verified,hydrolase
706,YDL068W,Dubious,molecular_function
707,YOL027C,Verified,null
708,YPL257W,Uncharacterized,molecular_function
709,YPL120W,Verified,molecular_function
710,YOL145C,Verified,RNA polymerase
711,YJL099W,Verified,molecular_function
712,YHR149C,Verified,molecular_function
713,YOL110W,Verified,null
714,YDR005C,Verified,RNA polymerase
715,YMR311C,Verified,null
716,YHL041W,Dubious,molecular_function
717,YBL039C,Verified,null
718,YGR188C,Verified,kinase
719,YOR362C,Verified,null
720,YLR126C,Verified,molecular_function
721,YDL053C,Verified,molecular_function
722,YML074C,Verified,null
723,YKR062W,Verified,RNA polymerase
724,YNL286W,Verified,snRNA binding
725,YER010C,Verified,null
726,YML003W,Uncharacterized,molecular_function
727,YMR097C,Verified,null
728,YDL133W,Verified,null
729,YDR158W,Verified,dehydrogenase
730,YGR228W,Dubious,molecular_function
731,YHR096C,Verified,transmembrane
732,YDL035C,Verified,receptor
733,YMR253C,Uncharacterized,molecular_function
734,YCR102C,Uncharacterized,molecular_function
735,YOR257W,Verified,null
736,YGR002C,Verified,null
737,YDR042C,Uncharacterized,molecular_function
738,YGR075C,Verified,molecular_function
739,YGR253C,Verified,molecular_function
740,YDR510W,Verified,null
741,YEL014C,Dubious,molecular_function
742,YDR467C,Dubious,molecular_function
743,YPR045C,Verified,molecular_function
744,YPR010C,Uncharacterized,RNA polymerase
745,YPL231W,Verified,ADP
746,YLR148W,Verified,null
747,YMR137C,Verified,damage
748,YDL082W,Verified,null
749,YKL155C,Verified,null
750,YFL042C,Verified,transporter
751,YBL083C,Dubious,molecular_function
752,YDR148C,Verified,null
753,YPL096W,Verified,null
754,YDR335W,Verified,receptor
755,YPR141C,Verified,ATP
756,YJL067W,Dubious,molecular_function
757,YMR039C,Verified,transcription
758,YOR107W,Verified,null
759,YDR443C,Verified,transcription
760,YCR095C,Uncharacterized,molecular_function
761,YLL011W,Verified,null
762,YCR077C,Verified,null
763,YLR437C,Dubious,molecular_function
764,YFL064C,Uncharacterized,molecular_function
765,YNL191W,Verified,peptidase
766,YDR237W,Verified,null
767,YJL110C,Verified,transcription
768,YKR048C,Verified,histone
769,YBR001C,Verified,null
770,YPL003W,Verified,null
771,YKL108W,Verified,null
772,YJR094C,Verified,transcription
773,YJR074W,Verified,null
774,YPR127W,Verified,molecular_function
775,YDL148C,Verified,null
776,YAL012W,Verified,null
777,YMR288W,Verified,null
778,YIL156W,Verified,null
779,YBR241C,Uncharacterized,transmembrane
780,YJL212C,Verified,transmembrane
781,YPL156C,Verified,molecular_function
782,YNL312W,Verified,null
783,YLR187W,Verified,molecular_function
784,YDR099W,Verified,null
785,YKL133C,Uncharacterized,molecular_function
786,YKL188C,Verified,transmembrane
787,YHR170W,Verified,null
788,YDR259C,Verified,transcription
789,YKL068W,Verified,transporter
790,YGR098C,Verified,peptidase
791,YKL093W,Verified,molecular_function
792,YMR002W,Verified,molecular_function
793,YLR261C,Uncharacterized,molecular_function
794,YDL246C,Verified,dehydrogenase
795,YER081W,Verified,dehydrogenase
796,YPL178W,Verified,null
797,YPR202W,Uncharacterized,molecular_function
798,YIL096C,Verified,null
799,YOL046C,Dubious,molecular_function
800,YFR011C,Verified,molecular_function
801,YIL074C,Verified,dehydrogenase
802,YHL008C,Uncharacterized,transporter
803,YLR457C,Verified,null
804,YNL249C,Verified,molecular_function
805,YGR056W,Verified,ATP
806,YGL065C,Verified,null
807,YOR052C,Verified,molecular_function
808,YBR012C,Dubious,molecular_function
809,YGR116W,Verified,transcription
810,YOR343C,Dubious,molecular_function
811,YGL230C,Uncharacterized,molecular_function
812,YOL159C,Verified,molecular_function
813,YBR185C,Verified,null
814,YBR129C,Verified,molecular_function
815,YDR290W,Dubious,molecular_function
816,YDR019C,Verified,dehydrogenase
817,YBR150C,Verified,null
818,YIR042C,Uncharacterized,molecular_function
819,YER119C,Dubious,transmembrane
820,YMR196W,Uncharacterized,molecular_function
821,YKR105C,Verified,molecular_function
822,YDR499W,Verified,damage
823,YCR054C,Verified,molecular_function
824,YMR322C,Verified,peptidase
825,YLL061W,Verified,transmembrane
826,YDR110W,Verified,null
827,YDR419W,Verified,null
828,YOR221C,Verified,null
829,YPL214C,Verified,kinase
830,YGL165C,Dubious,molecular_function
831,YOL064C,Verified,null
832,YBL023C,Verified,ATP
833,YOR274W,Verified,tRNA
834,YHR213W,Uncharacterized,molecular_function
835,YOR329C,Verified,null
836,YLR005W,Verified,transcription
837,YDR124W,Uncharacterized,molecular_function
838,YNL267W,Verified,kinase
839,YJL143W,Verified,null
840,YLL047W,Dubious,molecular_function
